sample_id,repository,bug_id,commit,id,file,function,loc,complexity,max_nesting,num_args,num_returns,num_calls,file_imports,caller_count,callee_count,dependency_count,degree,betweenness,pagerank,label
PySnooper_2_e21a31162f4c_pysnooper/tracer.py___init___1,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/tracer.py:__init__,pysnooper/tracer.py,__init__,28,3,0,8,0,10,12,0,1,0,2,0.0,0.006148652176420965,1
PySnooper_2_e21a31162f4c_pysnooper/variables.py__keys_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/variables.py:_keys,pysnooper/variables.py,_keys,2,1,0,2,1,2,4,1,0,0,2,0.0,0.014176199627772161,0
PySnooper_2_e21a31162f4c_pysnooper/variables.py_items_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/variables.py:items,pysnooper/variables.py,items,6,3,1,2,2,2,4,0,1,0,2,0.0,0.006156644473253462,0
PySnooper_2_e21a31162f4c_pysnooper/utils.py_shitcode_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/utils.py:shitcode,pysnooper/utils.py,shitcode,4,2,0,1,1,2,3,0,0,0,1,0.0,0.006451974615967661,0
PySnooper_2_e21a31162f4c_tests/samples/indentation.py_main_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/samples/indentation.py:main,tests/samples/indentation.py,main,2,1,0,0,0,1,1,0,1,0,2,0.0,0.006642943975825131,0
PySnooper_2_e21a31162f4c_tests/utils.py__check_name_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/utils.py:_check_name,tests/utils.py,_check_name,7,3,2,2,3,1,7,1,0,0,2,0.0,0.009579398463770754,0
PySnooper_2_e21a31162f4c_pysnooper/utils.py_write_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/utils.py:write,pysnooper/utils.py,write,2,1,0,2,0,0,3,0,0,0,1,0.0,0.006451974615967661,0
PySnooper_2_e21a31162f4c_tests/utils.py__check_value_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/utils.py:_check_value,tests/utils.py,_check_value,7,3,2,2,3,1,7,1,0,0,2,0.0,0.009579398463770754,0
PySnooper_2_e21a31162f4c_tests/test_pysnooper.py_test_truncate_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/test_pysnooper.py:test_truncate,tests/test_pysnooper.py,test_truncate,10,3,2,0,0,4,13,0,0,0,1,0.0,0.005960350538552711,0
PySnooper_2_e21a31162f4c_pysnooper/pycompat.py___fspath___0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/pycompat.py:__fspath__,pysnooper/pycompat.py,__fspath__,3,1,0,1,0,0,4,0,0,0,1,0.0,0.0070951995378644465,0
PySnooper_2_e21a31162f4c_misc/generate_authors.py_print_authors_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,misc/generate_authors.py:print_authors,misc/generate_authors.py,print_authors,4,2,1,0,0,4,2,0,1,0,2,0.0,0.00746676364149874,0
PySnooper_2_e21a31162f4c_tests/samples/indentation.py_f3_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/samples/indentation.py:f3,tests/samples/indentation.py,f3,2,1,0,0,0,1,1,1,1,0,3,0.00024996875390576176,0.0170896213086614,0
PySnooper_2_e21a31162f4c_pysnooper/variables.py__get_value_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/variables.py:_get_value,pysnooper/variables.py,_get_value,2,1,0,3,1,0,4,1,0,0,2,0.0,0.00938221687686899,0
PySnooper_2_e21a31162f4c_pysnooper/variables.py___getitem___0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/variables.py:__getitem__,pysnooper/variables.py,__getitem__,5,1,0,2,1,2,4,0,0,0,1,0.0,0.006156644473253462,0
PySnooper_2_e21a31162f4c_tests/utils.py__check_content_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/utils.py:_check_content,tests/utils.py,_check_content,2,1,0,2,0,0,7,1,2,0,4,0.00024996875390576176,0.008369405200490364,0
PySnooper_2_e21a31162f4c_tests/utils.py_event_name_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/utils.py:event_name,tests/utils.py,event_name,2,1,0,1,1,4,7,0,0,0,1,0.0,0.006009236540691585,0
PySnooper_2_e21a31162f4c_tests/samples/exception.py_bar_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/samples/exception.py:bar,tests/samples/exception.py,bar,6,3,1,0,0,2,1,1,1,0,3,6.249218847644044e-05,0.013046760761968874,0
PySnooper_2_e21a31162f4c_tests/utils.py__check_stage_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/utils.py:_check_stage,tests/utils.py,_check_stage,6,2,1,2,2,1,7,1,0,0,2,0.0,0.013149560386849921,0
PySnooper_2_e21a31162f4c_tests/samples/indentation.py_f4_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/samples/indentation.py:f4,tests/samples/indentation.py,f4,2,1,0,0,0,1,1,1,1,0,3,0.00018747656542932132,0.021420182120022082,0
PySnooper_2_e21a31162f4c_tests/test_pysnooper.py_test_var_order_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/test_pysnooper.py:test_var_order,tests/test_pysnooper.py,test_var_order,41,2,1,0,0,25,13,0,0,0,1,0.0,0.005960350538552711,0
PySnooper_2_e21a31162f4c_tests/samples/recursion.py_main_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/samples/recursion.py:main,tests/samples/recursion.py,main,2,1,0,0,0,1,1,0,1,0,2,0.0,0.007054853808661935,0
PySnooper_2_e21a31162f4c_tests/test_pysnooper.py_test_generator_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/test_pysnooper.py:test_generator,tests/test_pysnooper.py,test_generator,78,2,1,0,1,54,13,0,0,0,1,0.0,0.005960350538552711,0
PySnooper_2_e21a31162f4c_tests/test_pysnooper.py_test_watch_explode_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/test_pysnooper.py:test_watch_explode,tests/test_pysnooper.py,test_watch_explode,47,2,1,0,0,30,13,0,0,0,1,0.0,0.005960350538552711,0
PySnooper_2_e21a31162f4c_setup.py_read_file_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,setup.py:read_file,setup.py,read_file,3,2,1,1,1,2,2,0,0,0,1,0.0,0.01076204230419318,0
PySnooper_2_e21a31162f4c_pysnooper/variables.py__format_key_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/variables.py:_format_key,pysnooper/variables.py,_format_key,2,1,0,2,0,0,4,1,0,0,2,0.0,0.00938221687686899,0
PySnooper_2_e21a31162f4c_tests/samples/indentation.py_f5_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/samples/indentation.py:f5,tests/samples/indentation.py,f5,2,1,0,0,0,0,1,1,0,0,2,0.0,0.02549835594814708,0
PySnooper_2_e21a31162f4c_tests/test_pysnooper.py_test_confusing_decorator_lines_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/test_pysnooper.py:test_confusing_decorator_lines,tests/test_pysnooper.py,test_confusing_decorator_lines,40,1,0,0,2,20,13,0,0,0,1,0.0,0.005960350538552711,0
PySnooper_2_e21a31162f4c_tests/utils.py__check_thread_info_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/utils.py:_check_thread_info,tests/utils.py,_check_thread_info,7,3,2,2,3,1,7,1,0,0,2,0.0,0.008369405200490364,0
PySnooper_2_e21a31162f4c_tests/utils.py_assert_sample_output_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/utils.py:assert_sample_output,tests/utils.py,assert_sample_output,21,4,1,1,1,9,7,0,0,0,1,0.0,0.006009236540691585,0
PySnooper_2_e21a31162f4c_tests/utils.py__check_preamble_0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/utils.py:_check_preamble,tests/utils.py,_check_preamble,6,2,1,2,2,3,7,1,1,0,3,0.00012498437695288088,0.008369405200490364,0
PySnooper_2_e21a31162f4c_pysnooper/tracer.py___getitem___0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/tracer.py:__getitem__,pysnooper/tracer.py,__getitem__,2,1,0,2,1,0,12,0,0,0,1,0.0,0.006148652176420965,0
PySnooper_2_e21a31162f4c_pysnooper/pycompat.py___subclasshook___0,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/pycompat.py:__subclasshook__,pysnooper/pycompat.py,__subclasshook__,7,1,0,2,1,3,4,0,0,0,1,0.0,0.0070951995378644465,0
PySnooper_3_6e3d797be3fa_pysnooper/pysnooper.py_get_write_function_1,PySnooper,3,6e3d797be3fa0a746fb5b1b7c7fea78eb926c208,pysnooper/pysnooper.py:get_write_function,pysnooper/pysnooper.py,get_write_function,15,4,3,1,1,6,9,1,0,0,2,0.0,0.038558089849319424,1
PySnooper_3_6e3d797be3fa_pysnooper/utils.py_write_0,PySnooper,3,6e3d797be3fa0a746fb5b1b7c7fea78eb926c208,pysnooper/utils.py:write,pysnooper/utils.py,write,2,1,0,2,0,0,3,0,0,0,1,0.0,0.01770683666904039,0
PySnooper_3_6e3d797be3fa_pysnooper/tracer.py_get_shortish_repr_0,PySnooper,3,6e3d797be3fa0a746fb5b1b7c7fea78eb926c208,pysnooper/tracer.py:get_shortish_repr,pysnooper/tracer.py,get_shortish_repr,5,2,1,1,1,4,6,1,0,0,2,0.0,0.033466613517203675,0
PySnooper_3_6e3d797be3fa_pysnooper/utils.py__check_methods_0,PySnooper,3,6e3d797be3fa0a746fb5b1b7c7fea78eb926c208,pysnooper/utils.py:_check_methods,pysnooper/utils.py,_check_methods,11,5,4,2,3,0,3,1,0,0,2,0.0,0.03279707375521846,0
PySnooper_3_6e3d797be3fa_tests/utils.py__check_source_0,PySnooper,3,6e3d797be3fa0a746fb5b1b7c7fea78eb926c208,tests/utils.py:_check_source,tests/utils.py,_check_source,7,3,2,2,3,1,4,1,0,0,2,0.0,0.02132211015254785,0
PySnooper_3_6e3d797be3fa_tests/utils.py___init___0,PySnooper,3,6e3d797be3fa0a746fb5b1b7c7fea78eb926c208,tests/utils.py:__init__,tests/utils.py,__init__,15,5,1,6,0,2,4,0,0,0,1,0.0,0.015288149745168551,0
PySnooper_3_6e3d797be3fa_pysnooper/tracer.py___enter___0,PySnooper,3,6e3d797be3fa0a746fb5b1b7c7fea78eb926c208,pysnooper/tracer.py:__enter__,pysnooper/tracer.py,__enter__,3,1,0,1,0,2,6,0,0,0,1,0.0,0.01597920315198908,0
ansible_1_25c5388fdec9_lib/ansible/galaxy/collection.py_verify_collections_1,ansible,1,25c5388fdec9e56517a93feb5e8d485680946c25,lib/ansible/galaxy/collection.py:verify_collections,lib/ansible/galaxy/collection.py,verify_collections,48,14,6,6,0,22,33,0,6,0,7,0.0,6.535369086260089e-05,1
ansible_1_25c5388fdec9_lib/ansible/inventory/manager.py_add_host_0,ansible,1,25c5388fdec9e56517a93feb5e8d485680946c25,lib/ansible/inventory/manager.py:add_host,lib/ansible/inventory/manager.py,add_host,2,1,0,4,1,1,21,0,0,0,1,0.0,6.616718585584683e-05,0
ansible_1_25c5388fdec9_test/units/galaxy/test_collection_install.py_test_add_collection_requirement_with_conflict_0,ansible,1,25c5388fdec9e56517a93feb5e8d485680946c25,test/units/galaxy/test_collection_install.py:test_add_collection_requirement_with_conflict,test/units/galaxy/test_collection_install.py,test_add_collection_requirement_with_conflict,8,2,1,1,0,2,20,0,0,0,1,0.0,6.562893352948862e-05,0
ansible_1_25c5388fdec9_test/units/plugins/action/test_raw.py_test_raw_test_environment_is_None_0,ansible,1,25c5388fdec9e56517a93feb5e8d485680946c25,test/units/plugins/action/test_raw.py:test_raw_test_environment_is_None,test/units/plugins/action/test_raw.py,test_raw_test_environment_is_None,14,1,0,1,0,5,8,0,0,0,1,0.0,7.4567766806509e-05,0
ansible_10_e368f788f71c_lib/ansible/modules/system/pamd.py_remove_1,ansible,10,e368f788f71c338cd3f049d5d6bdc643a51c0514,lib/ansible/modules/system/pamd.py:remove,lib/ansible/modules/system/pamd.py,remove,16,4,3,4,1,1,6,1,1,0,3,0.0,1.2661860106588053e-05,1
ansible_10_e368f788f71c_lib/ansible/modules/system/pamd.py___init___1,ansible,10,e368f788f71c338cd3f049d5d6bdc643a51c0514,lib/ansible/modules/system/pamd.py:__init__,lib/ansible/modules/system/pamd.py,__init__,14,5,4,2,0,10,6,0,2,0,3,0.0,1.102396893963877e-05,1
ansible_10_e368f788f71c_lib/ansible/modules/cloud/google/_gcp_url_map.py_update_url_map_0,ansible,10,e368f788f71c338cd3f049d5d6bdc643a51c0514,lib/ansible/modules/cloud/google/_gcp_url_map.py:update_url_map,lib/ansible/modules/cloud/google/_gcp_url_map.py,update_url_map,38,4,1,5,2,5,5,1,1,0,3,0.0,1.4450941227409577e-05,0
ansible_10_e368f788f71c_lib/ansible/modules/network/fortios/fortios_system_ipv6_tunnel.py_fortios_system_0,ansible,10,e368f788f71c338cd3f049d5d6bdc643a51c0514,lib/ansible/modules/network/fortios/fortios_system_ipv6_tunnel.py:fortios_system,lib/ansible/modules/network/fortios/fortios_system_ipv6_tunnel.py,fortios_system,8,2,1,2,1,2,6,1,2,0,4,0.0,1.894344271389904e-05,0
ansible_10_e368f788f71c_lib/ansible/modules/cloud/cloudstack/cs_volume.py_main_0,ansible,10,e368f788f71c338cd3f049d5d6bdc643a51c0514,lib/ansible/modules/cloud/cloudstack/cs_volume.py:main,lib/ansible/modules/cloud/cloudstack/cs_volume.py,main,66,6,5,0,0,37,3,0,6,0,7,0.0,1.1611929871364154e-05,0
ansible_10_e368f788f71c_lib/ansible/module_utils/network/junos/facts/lacp/lacp.py_populate_facts_0,ansible,10,e368f788f71c338cd3f049d5d6bdc643a51c0514,lib/ansible/module_utils/network/junos/facts/lacp/lacp.py:populate_facts,lib/ansible/module_utils/network/junos/facts/lacp/lacp.py,populate_facts,50,7,3,4,1,15,8,0,0,0,1,0.0,1.488771220526272e-05,0
ansible_10_e368f788f71c_lib/ansible/modules/network/f5/bigip_monitor_external.py_read_current_from_device_0,ansible,10,e368f788f71c338cd3f049d5d6bdc643a51c0514,lib/ansible/modules/network/f5/bigip_monitor_external.py:read_current_from_device,lib/ansible/modules/network/f5/bigip_monitor_external.py,read_current_from_device,18,5,2,1,1,9,23,1,0,0,2,0.0,1.5207300725643067e-05,0
ansible_10_e368f788f71c_test/units/plugins/filter/test_mathstuff.py_test_max_0,ansible,10,e368f788f71c338cd3f049d5d6bdc643a51c0514,test/units/plugins/filter/test_mathstuff.py:test_max,test/units/plugins/filter/test_mathstuff.py,test_max,4,1,0,1,0,3,5,0,0,0,1,0.0,1.1005303513234789e-05,0
ansible_11_da07b98b7a43_lib/ansible/modules/network/ios/ios_banner.py_map_obj_to_commands_1,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/modules/network/ios/ios_banner.py:map_obj_to_commands,lib/ansible/modules/network/ios/ios_banner.py,map_obj_to_commands,17,4,3,2,1,6,5,1,0,0,2,0.0,1.8222869580190437e-05,1
ansible_11_da07b98b7a43_lib/ansible/modules/network/ios/ios_banner.py_map_params_to_obj_1,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/modules/network/ios/ios_banner.py:map_params_to_obj,lib/ansible/modules/network/ios/ios_banner.py,map_params_to_obj,10,2,1,1,1,2,5,1,0,0,2,0.0,1.8222869580190437e-05,1
ansible_11_da07b98b7a43_lib/ansible/modules/network/ios/ios_banner.py_map_config_to_obj_1,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/modules/network/ios/ios_banner.py:map_config_to_obj,lib/ansible/modules/network/ios/ios_banner.py,map_config_to_obj,17,4,2,1,1,5,5,1,0,0,2,0.0,1.8222869580190437e-05,1
ansible_11_da07b98b7a43_test/units/cli/test_galaxy.py_test_parse_info_0,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,test/units/cli/test_galaxy.py:test_parse_info,test/units/cli/test_galaxy.py,test_parse_info,5,1,0,1,0,3,18,0,0,0,1,0.0,1.0704037867806273e-05,0
ansible_11_da07b98b7a43_test/lib/ansible_test/_internal/env.py_get_timeout_0,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,test/lib/ansible_test/_internal/env.py:get_timeout,test/lib/ansible_test/_internal/env.py,get_timeout,13,3,1,0,2,4,19,1,0,0,2,0.0,2.4798661382885737e-05,0
ansible_11_da07b98b7a43_lib/ansible/modules/network/fortios/fortios_log_syslogd2_setting.py_log_syslogd2_setting_0,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/modules/network/fortios/fortios_log_syslogd2_setting.py:log_syslogd2_setting,lib/ansible/modules/network/fortios/fortios_log_syslogd2_setting.py,log_syslogd2_setting,9,1,0,2,1,3,6,1,2,0,4,0.0,1.9005701937654162e-05,0
ansible_11_da07b98b7a43_lib/ansible/plugins/callback/mail.py_v2_runner_item_on_failed_0,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/plugins/callback/mail.py:v2_runner_item_on_failed,lib/ansible/plugins/callback/mail.py,v2_runner_item_on_failed,4,1,0,2,0,2,9,0,1,0,2,0.0,1.1562772754383654e-05,0
ansible_11_da07b98b7a43_lib/ansible/modules/monitoring/datadog/datadog_monitor.py_install_monitor_0,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/modules/monitoring/datadog/datadog_monitor.py:install_monitor,lib/ansible/modules/monitoring/datadog/datadog_monitor.py,install_monitor,25,4,1,1,0,6,5,1,3,0,5,0.0,1.5154166738932629e-05,0
ansible_11_da07b98b7a43_test/units/modules/network/fortios/test_fortios_system_autoupdate_schedule.py_test_system_autoupdate_schedule_creation_fails_0,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,test/units/modules/network/fortios/test_fortios_system_autoupdate_schedule.py:test_system_autoupdate_schedule_creation_fails,test/units/modules/network/fortios/test_fortios_system_autoupdate_schedule.py,test_system_autoupdate_schedule_creation_fails,32,1,0,1,0,5,7,0,0,0,1,0.0,1.3181429198124037e-05,0
ansible_11_da07b98b7a43_lib/ansible/modules/cloud/centurylink/clc_firewall_policy.py__ensure_firewall_policy_is_absent_0,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/modules/cloud/centurylink/clc_firewall_policy.py:_ensure_firewall_policy_is_absent,lib/ansible/modules/cloud/centurylink/clc_firewall_policy.py,_ensure_firewall_policy_is_absent,28,3,2,4,1,3,10,1,2,0,4,0.0,1.5756947654179696e-05,0
ansible_11_da07b98b7a43_lib/ansible/modules/cloud/amazon/s3_bucket.py_put_bucket_versioning_0,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/modules/cloud/amazon/s3_bucket.py:put_bucket_versioning,lib/ansible/modules/cloud/amazon/s3_bucket.py,put_bucket_versioning,2,1,0,3,0,1,11,1,0,0,2,0.0,1.1678391071793684e-05,0
ansible_11_da07b98b7a43_test/units/modules/network/eos/test_eos_user.py_test_eos_user_update_password_always_0,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,test/units/modules/network/eos/test_eos_user.py:test_eos_user_update_password_always,test/units/modules/network/eos/test_eos_user.py,test_eos_user_update_password_always,4,1,0,1,0,3,5,0,0,0,1,0.0,1.142788471740529e-05,0
ansible_12_05e2e1806162_lib/ansible/plugins/lookup/env.py_run_1,ansible,12,05e2e1806162393d76542a75c2520c7d61c2d855,lib/ansible/plugins/lookup/env.py:run,lib/ansible/plugins/lookup/env.py,run,8,2,1,4,1,3,3,0,0,0,1,0.0,1.712767435160702e-05,1
ansible_12_05e2e1806162_lib/ansible/modules/network/eos/eos_command.py_main_0,ansible,12,05e2e1806162393d76542a75c2520c7d61c2d855,lib/ansible/modules/network/eos/eos_command.py:main,lib/ansible/modules/network/eos/eos_command.py,main,59,9,4,0,0,25,7,0,1,0,2,0.0,1.493564200236727e-05,0
ansible_12_05e2e1806162_test/units/modules/source_control/gitlab/test_gitlab_runner.py_test_update_runner_0,ansible,12,05e2e1806162393d76542a75c2520c7d61c2d855,test/units/modules/source_control/gitlab/test_gitlab_runner.py:test_update_runner,test/units/modules/source_control/gitlab/test_gitlab_runner.py,test_update_runner,13,1,0,1,0,9,6,0,0,0,1,0.0,1.2430462174664697e-05,0
ansible_12_05e2e1806162_lib/ansible/modules/network/f5/bigip_monitor_dns.py___init___0,ansible,12,05e2e1806162393d76542a75c2520c7d61c2d855,lib/ansible/modules/network/f5/bigip_monitor_dns.py:__init__,lib/ansible/modules/network/f5/bigip_monitor_dns.py,__init__,39,1,0,1,0,27,25,0,1,0,2,0.0,1.0850490806056824e-05,0
ansible_13_41472ee3878b_lib/ansible/galaxy/collection.py__get_collection_info_1,ansible,13,41472ee3878be215af8b933b2b04b4a72b9165ca,lib/ansible/galaxy/collection.py:_get_collection_info,lib/ansible/galaxy/collection.py,_get_collection_info,42,9,2,10,0,22,29,1,5,0,7,0.0,1.765724084668366e-05,1
ansible_13_41472ee3878b_lib/ansible/cli/galaxy.py_execute_install_1,ansible,13,41472ee3878be215af8b933b2b04b4a72b9165ca,lib/ansible/cli/galaxy.py:execute_install,lib/ansible/cli/galaxy.py,execute_install,149,31,7,1,2,58,26,0,3,0,4,0.0,1.0966481605961735e-05,1
ansible_13_41472ee3878b_lib/ansible/modules/cloud/digital_ocean/digital_ocean_droplet.py_get_addresses_0,ansible,13,41472ee3878be215af8b933b2b04b4a72b9165ca,lib/ansible/modules/cloud/digital_ocean/digital_ocean_droplet.py:get_addresses,lib/ansible/modules/cloud/digital_ocean/digital_ocean_droplet.py,get_addresses,19,6,2,2,1,4,5,1,0,0,2,0.0,1.6226793012569006e-05,0
ansible_13_41472ee3878b_lib/ansible/modules/network/f5/bigip_asm_dos_application.py_ios_allowed_package_names_0,ansible,13,41472ee3878be215af8b933b2b04b4a72b9165ca,lib/ansible/modules/network/f5/bigip_asm_dos_application.py:ios_allowed_package_names,lib/ansible/modules/network/f5/bigip_asm_dos_application.py,ios_allowed_package_names,3,1,0,1,1,1,26,0,0,0,1,0.0,1.0833020621121726e-05,0
